customer_id,is_premium,pet_type,total_orders,total_spend
156,FALSE,Cat,6,1973.68
157,FALSE,Dog,9,2362.9
158,TRUE,Cat,13,0
159,TRUE,Both,7,1183.39
160,FALSE,Dog,11,5167.75
161,FALSE,Cat,9,2195.32
162,FALSE,Dog,14,3306.27
163,FALSE,Cat,9,3338.85
164,FALSE,Dog,12,686.42
165,TRUE,Dog,7,956.21
166,FALSE,Dog,6,0
167,TRUE,Cat,12,3286.05
168,TRUE,Both,13,0
169,TRUE,Dog,10,7156.65
170,FALSE,Cat,11,1865.54
171,FALSE,Dog,9,615.34
172,FALSE,Dog,10,1346.74
173,FALSE,Cat,11,7988.84
174,FALSE,Cat,8,0
175,TRUE,Dog,14,3439.5
176,TRUE,Dog,9,261.2
177,FALSE,Dog,14,3535.01
178,FALSE,Cat,17,11322.53
179,TRUE,Cat,7,6762.56
180,TRUE,Dog,5,0
181,FALSE,Dog,8,3122.88
182,TRUE,Both,4,0
183,FALSE,Cat,5,1726.95
184,FALSE,Dog,6,0
185,FALSE,Dog,12,926.24
186,TRUE,Dog,7,1352.16
187,TRUE,Cat,6,0
188,TRUE,Dog,13,0
189,FALSE,Dog,13,5982.04
190,TRUE,Both,17,3357.54
191,TRUE,Both,12,1786.51
192,TRUE,Dog,7,0
193,TRUE,Dog,12,5648.45
194,FALSE,Dog,7,0
195,FALSE,Dog,8,0
196,TRUE,Cat,4,2594.16
197,TRUE,Cat,15,1568.39
198,TRUE,Dog,6,0
199,TRUE,Cat,11,4457.6
200,FALSE,Cat,13,6444.62
201,FALSE,Dog,12,3121.88
202,FALSE,Cat,11,4806.48
203,FALSE,Cat,7,1147.9
204,TRUE,Dog,10,5891.07
205,TRUE,Cat,13,4375.9
206,TRUE,Cat,7,1987.62
207,FALSE,Cat,9,2128.49
208,FALSE,Both,9,0
209,FALSE,Cat,7,0
210,FALSE,Cat,13,3338.85
211,FALSE,Cat,10,0
212,FALSE,Dog,13,4391.34
213,TRUE,Dog,10,0
214,FALSE,Cat,10,2734.88
215,FALSE,Dog,9,188.03
216,TRUE,Dog,17,1486.55
217,FALSE,Cat,4,1063.5
218,TRUE,Cat,9,169.03
219,TRUE,Dog,5,4628.85
220,TRUE,Dog,7,4824.02
221,FALSE,Both,8,0
222,FALSE,Dog,14,3566.94
223,FALSE,Both,7,1531.95
224,TRUE,Dog,5,0
225,FALSE,Dog,12,0
226,FALSE,Dog,9,0
227,FALSE,Dog,5,0
228,FALSE,Dog,9,3020.58
229,FALSE,Cat,8,0
230,TRUE,Both,12,1304.84
231,TRUE,Dog,9,0
232,FALSE,Cat,13,1224.8
233,FALSE,Cat,7,0
234,FALSE,Dog,7,0
235,TRUE,Cat,10,123.64
236,TRUE,Both,15,896.76
237,TRUE,Cat,13,1095.4
238,FALSE,Cat,13,4239.24
239,FALSE,Cat,13,1946.1
240,FALSE,Cat,8,1331.7
241,TRUE,Cat,13,6092.64
242,TRUE,Dog,5,0
243,TRUE,Dog,10,790.19
244,TRUE,Dog,14,700.93
245,FALSE,Dog,11,1767.18
246,TRUE,Dog,9,521.57
247,TRUE,Dog,6,1034.05
248,TRUE,Dog,7,1235.52
249,TRUE,Both,10,3091.57
250,FALSE,Cat,8,564.09
251,FALSE,Dog,10,1960.31
252,FALSE,Cat,12,1455.32
253,FALSE,Both,10,4466.41
254,TRUE,Dog,8,0
255,TRUE,Cat,9,0
256,FALSE,Cat,11,0
257,FALSE,Dog,11,0
258,FALSE,Cat,11,741.83
259,FALSE,Cat,6,487.59
260,FALSE,Cat,12,2898.74
261,TRUE,Cat,7,0
262,FALSE,Cat,10,1424.22
263,TRUE,Cat,15,4432.21
264,TRUE,Dog,9,7090.76
265,FALSE,Dog,10,0
266,TRUE,Cat,5,0
267,FALSE,Both,17,2766.07
268,FALSE,Cat,11,4460.25
269,FALSE,Dog,11,2884.71
270,TRUE,Dog,8,1576.98
271,FALSE,Cat,10,7872.89
272,FALSE,Cat,13,5094.76
273,TRUE,Both,12,0
274,FALSE,Dog,10,2825.88
275,FALSE,Dog,14,3860.22
276,TRUE,Dog,13,4319.3
277,FALSE,Dog,7,1681.76
278,TRUE,Dog,15,1497.36
279,FALSE,Cat,6,0
280,FALSE,Cat,8,1714.44
281,FALSE,Dog,4,411.95
282,TRUE,Dog,8,0
283,FALSE,Dog,11,0
284,FALSE,Both,8,0
285,TRUE,Dog,6,0
286,TRUE,Dog,8,6377.5
287,TRUE,Cat,13,6767.52
288,TRUE,Dog,5,534.04
289,FALSE,Dog,12,8051.45
290,TRUE,Cat,8,893.2
291,TRUE,Cat,12,2903.65
292,TRUE,Dog,6,826
293,TRUE,Cat,10,8102.74
294,FALSE,Cat,12,3435.45
295,TRUE,Dog,6,0
296,TRUE,Dog,13,6415.11
297,TRUE,Dog,9,3516.99
298,TRUE,Cat,11,1301.86
299,FALSE,Cat,8,2138.97
300,TRUE,Cat,6,4459.65
301,TRUE,Cat,8,522.48
302,TRUE,Cat,4,0
303,TRUE,Dog,17,0
304,FALSE,Dog,11,0
305,FALSE,Both,11,2976.19
306,TRUE,Cat,12,247.28
307,TRUE,Dog,11,3162.54
308,FALSE,Cat,11,726.96
309,FALSE,Cat,15,4864.49
310,FALSE,Dog,12,2231.42
311,FALSE,Dog,10,0
312,TRUE,Dog,11,0
313,TRUE,Dog,9,0
314,FALSE,Dog,5,3109.83
315,FALSE,Dog,5,0
316,FALSE,Dog,4,0
317,TRUE,Dog,9,3175.76
318,TRUE,Cat,6,0
319,TRUE,Cat,8,754.72
320,TRUE,Cat,18,3902.62
321,TRUE,Both,7,4321.98
322,FALSE,Dog,8,2863.98
323,FALSE,Dog,19,8040.37
324,TRUE,Dog,10,3976.43
325,FALSE,Cat,12,5025.88
326,FALSE,Dog,13,1033.33
327,TRUE,Dog,10,5207.83
328,TRUE,Dog,11,1992.94
329,FALSE,Dog,14,7812.45
330,FALSE,Cat,7,605.43
331,FALSE,Cat,4,0
332,FALSE,Dog,7,179.33
333,TRUE,Cat,4,0
334,TRUE,Both,11,1216.24
335,TRUE,Dog,8,2907.6
336,TRUE,Dog,11,2478
337,TRUE,Cat,10,4341.8
338,FALSE,Cat,8,1999.88
339,FALSE,Dog,7,247.28
340,FALSE,Cat,8,0
341,FALSE,Dog,13,3965.08
342,FALSE,Dog,9,2597.32
343,FALSE,Cat,9,1946.1
344,FALSE,Both,10,1492.32
345,FALSE,Dog,7,1999.88
346,FALSE,Dog,10,0
347,TRUE,Dog,8,2053.63
348,TRUE,Cat,6,0
349,TRUE,Dog,10,0
350,TRUE,Dog,14,4345.08
351,TRUE,Dog,6,1044.96
352,FALSE,Cat,10,0
353,FALSE,Both,8,2881.32
354,TRUE,Dog,12,0
355,FALSE,Dog,12,1642.38
356,TRUE,Dog,6,0
357,TRUE,Cat,12,0
358,TRUE,Cat,12,4443.86
359,FALSE,Cat,11,3258.62
360,FALSE,Cat,12,5271.94
361,FALSE,Cat,15,0
362,FALSE,Dog,7,3735.78
363,TRUE,Cat,9,0
364,TRUE,Cat,11,5328.62
365,TRUE,Dog,5,0
366,FALSE,Dog,8,2268.76
367,TRUE,Cat,10,3635.09
368,FALSE,Cat,14,5201.45
369,FALSE,Cat,7,2425.78
370,TRUE,Cat,12,496.44
371,FALSE,Dog,8,0
372,TRUE,Both,10,2692.23
373,FALSE,Cat,11,1735.11
374,TRUE,Dog,8,4485.29
375,TRUE,Cat,10,2101.7
376,FALSE,Cat,10,1338.78
377,TRUE,Dog,9,15427.22
378,TRUE,Both,6,225.73
379,TRUE,Both,10,1424.12
380,TRUE,Cat,10,129.13
381,TRUE,Dog,11,0
382,TRUE,Dog,7,0
383,FALSE,Cat,12,9322.34
384,FALSE,Dog,3,0
385,TRUE,Dog,10,311.47
386,TRUE,Dog,12,2365.47
387,FALSE,Cat,15,973.05
388,FALSE,Cat,12,9782.81
389,TRUE,Cat,10,2557.41
390,FALSE,Dog,8,0
391,TRUE,Both,11,0
392,FALSE,Dog,5,0
393,FALSE,Both,13,3239.5
394,FALSE,Both,12,3849.9
395,TRUE,Both,5,0
396,FALSE,Cat,8,2154.91
397,FALSE,Dog,6,3319.55
398,TRUE,Cat,12,746.85
399,TRUE,Dog,9,4178.34
400,TRUE,Cat,7,2151.28
401,TRUE,Dog,10,2970.54
402,FALSE,Both,6,0
403,FALSE,Cat,7,0
404,FALSE,Dog,8,0
405,TRUE,Dog,13,3376.58
406,TRUE,Cat,9,0
407,FALSE,Dog,6,0
408,TRUE,Cat,8,0
409,TRUE,Both,10,2976.39
410,FALSE,Cat,10,1985.34
411,FALSE,Dog,11,3967
412,FALSE,Dog,9,0
413,FALSE,Dog,14,4722.71
414,FALSE,Dog,13,6354.8
415,TRUE,Dog,12,995.75
416,TRUE,Cat,8,5679.78
417,TRUE,Dog,12,564.09
418,FALSE,Both,10,893.2
419,TRUE,Cat,16,9794.89
420,FALSE,Dog,12,0
421,FALSE,Dog,15,1530.47
422,FALSE,Cat,10,1186.3
423,FALSE,Cat,14,0
424,FALSE,Dog,12,0
425,FALSE,Dog,21,4700.17
426,FALSE,Dog,10,3678.23
427,TRUE,Dog,4,0
428,TRUE,Dog,13,6807.38
429,FALSE,Cat,18,3544.74
430,TRUE,Cat,11,3091.18
431,TRUE,Cat,6,2881.32
432,FALSE,Dog,16,5261.28
433,FALSE,Dog,12,0
434,TRUE,Dog,9,1568.82
435,FALSE,Dog,14,4783.16
436,TRUE,Dog,6,5629.02
437,FALSE,Dog,11,932.51
438,TRUE,Both,10,2596.64
439,TRUE,Cat,8,0
440,TRUE,Cat,12,0
441,TRUE,Dog,16,7659.95
442,FALSE,Dog,10,3226.92
443,TRUE,Cat,4,0
444,FALSE,Both,10,2743.7
445,FALSE,Dog,5,0
446,FALSE,Cat,11,4682.45
447,TRUE,Dog,11,0
448,FALSE,Cat,10,0
449,TRUE,Cat,17,949.48
450,FALSE,Cat,7,258.26
451,FALSE,Both,8,1098.92
452,TRUE,Cat,11,1446.61
453,FALSE,Cat,6,2569.97
454,TRUE,Cat,10,6192.58
455,TRUE,Dog,10,4266.15
456,TRUE,Dog,16,3905.58
457,FALSE,Both,9,0
458,FALSE,Cat,9,1975.1
459,FALSE,Cat,15,0
460,TRUE,Cat,12,1235.52
461,TRUE,Cat,8,307.9
462,FALSE,Cat,12,4585.72
463,TRUE,Dog,16,3894.96
464,FALSE,Both,8,2590.76
465,FALSE,Dog,12,4411.2
466,FALSE,Cat,10,3207.48
467,TRUE,Both,10,0
468,TRUE,Dog,8,1424.22
469,FALSE,Dog,14,6166.34
470,TRUE,Cat,9,4099.98
471,FALSE,Cat,7,2480.14
472,TRUE,Dog,4,0
473,FALSE,Dog,9,4983.02
474,TRUE,Dog,6,0
475,FALSE,Both,9,0
476,FALSE,Both,9,3324.39
477,TRUE,Cat,7,1483.66
478,FALSE,Both,9,2712.05
479,FALSE,Cat,9,2844.1
480,TRUE,Cat,9,0
481,FALSE,Dog,8,0
482,FALSE,Cat,8,0
483,FALSE,Dog,10,2705.18
484,FALSE,Cat,8,0
485,TRUE,Dog,12,4916.3
486,FALSE,Cat,11,677.19
487,FALSE,Cat,9,3744.17
488,TRUE,Cat,14,1033.39
489,FALSE,Dog,11,0
490,FALSE,Dog,6,0
491,TRUE,Dog,12,1816.1
492,FALSE,Dog,6,2585.12
493,TRUE,Cat,8,377.36
494,TRUE,Both,6,726.96
495,FALSE,Both,13,1338.78
496,FALSE,Cat,10,0
497,TRUE,Cat,9,169.03
498,FALSE,Dog,14,1435.84
499,FALSE,Dog,14,4873.85
500,TRUE,Both,3,0
501,TRUE,Dog,10,0
502,FALSE,Cat,9,358.66
503,TRUE,Cat,9,2405.4
504,TRUE,Both,8,3834.17
505,TRUE,Dog,9,0
506,FALSE,Cat,18,4610.69
507,TRUE,Cat,8,0
508,FALSE,Dog,12,2973.1
509,FALSE,Both,15,3109.83
510,FALSE,Dog,9,4876.24
511,FALSE,Both,8,0
512,FALSE,Both,8,3410.11
513,FALSE,Dog,10,1817.13
514,FALSE,Dog,6,0
515,FALSE,Cat,7,0
516,FALSE,Cat,14,4956.72
517,FALSE,Dog,14,0
518,TRUE,Cat,12,0
519,FALSE,Cat,9,4617.41
520,TRUE,Dog,6,0
521,TRUE,Dog,11,3817.89
522,FALSE,Dog,15,0
523,TRUE,Cat,9,3230.52
524,FALSE,Both,15,277.06
525,FALSE,Both,11,6620.9
526,FALSE,Dog,10,5248.2
527,TRUE,Cat,11,0
528,TRUE,Cat,5,0
529,TRUE,Cat,10,965.12
530,FALSE,Cat,8,0
531,TRUE,Dog,16,2920.68
532,FALSE,Dog,13,0
533,FALSE,Cat,5,501.78
534,TRUE,Cat,14,366.69
535,TRUE,Cat,5,0
536,TRUE,Cat,5,0
537,FALSE,Cat,9,0
538,TRUE,Dog,11,6576.08
539,FALSE,Both,16,4373.7
540,TRUE,Dog,8,0
541,FALSE,Cat,8,2773.23
542,FALSE,Cat,13,5304.16
543,TRUE,Dog,9,661.78
544,TRUE,Dog,17,1327.26
545,TRUE,Cat,11,0
546,FALSE,Both,12,2773.23
547,FALSE,Dog,11,1724.32
548,FALSE,Cat,8,1497.36
549,TRUE,Cat,11,2651.8
550,TRUE,Cat,10,3267.21
551,TRUE,Dog,8,3250.61
552,TRUE,Dog,7,0
553,FALSE,Cat,8,0
554,FALSE,Dog,7,1545.21
555,TRUE,Cat,12,3137.1
556,FALSE,Dog,10,0
557,FALSE,Dog,11,1210.5
558,TRUE,Dog,8,0
559,TRUE,Dog,8,669.39
560,TRUE,Dog,8,239.64
561,TRUE,Both,12,4752.82
562,FALSE,Dog,13,1068.08
563,FALSE,Both,7,0
564,TRUE,Dog,8,981.95
565,TRUE,Cat,14,2001.12
566,TRUE,Dog,8,2151.28
567,FALSE,Cat,15,2740.72
568,FALSE,Cat,11,3230.52
569,TRUE,Dog,9,0
570,TRUE,Dog,5,0
571,TRUE,Dog,5,1323.5
572,TRUE,Dog,7,3984.27
573,TRUE,Cat,11,2195.32
574,TRUE,Dog,9,713.42
575,TRUE,Dog,9,2650.79
576,FALSE,Both,6,0
577,TRUE,Cat,4,0
578,TRUE,Cat,11,7117.69
579,TRUE,Dog,13,5415.63
580,FALSE,Cat,12,6654.4
581,FALSE,Both,10,0
582,FALSE,Dog,12,3894.96
583,FALSE,Dog,7,0
584,TRUE,Cat,14,1470.92
585,FALSE,Both,10,0
586,FALSE,Cat,15,9092.06
587,TRUE,Dog,10,5844.11
588,TRUE,Cat,15,3839.08
589,TRUE,Dog,8,803.08
590,TRUE,Dog,10,0
591,FALSE,Dog,7,0
592,TRUE,Dog,9,4490.31
593,TRUE,Both,10,2881.32
594,FALSE,Cat,6,1421.73
595,FALSE,Cat,6,3883.98
596,FALSE,Cat,18,3703.06
597,FALSE,Dog,9,405.76
598,FALSE,Cat,18,3989.65
599,TRUE,Dog,7,711.22
600,TRUE,Cat,8,0
601,FALSE,Cat,8,5216.51
602,TRUE,Dog,7,1794.82
603,FALSE,Cat,7,0
604,FALSE,Cat,11,5614.39
605,FALSE,Both,6,0
606,TRUE,Cat,7,0
607,TRUE,Cat,9,741.83
608,TRUE,Both,6,202.19
609,TRUE,Both,14,1024.66
610,TRUE,Dog,17,4186.67
611,FALSE,Dog,11,0
612,FALSE,Dog,13,6744.55
613,FALSE,Cat,10,0
614,FALSE,Dog,10,387.39
615,TRUE,Cat,14,4755
616,TRUE,Both,7,262.88
617,FALSE,Dog,10,2478.79
618,TRUE,Dog,8,1705.86
619,TRUE,Both,8,4122.99
620,TRUE,Dog,6,4670.6
621,FALSE,Dog,6,0
622,TRUE,Cat,8,1071.18
623,TRUE,Cat,18,8053.49
624,TRUE,Both,7,1422.05
625,FALSE,Cat,5,0
626,TRUE,Both,7,1032.09
627,TRUE,Both,6,239.64
628,TRUE,Cat,8,525.76
629,FALSE,Dog,15,496.44
630,FALSE,Cat,11,5129.55
631,FALSE,Dog,12,2588.32
632,TRUE,Dog,8,3600.52
633,FALSE,Cat,6,0
634,FALSE,Dog,10,0
635,FALSE,Dog,10,3569.85
636,FALSE,Dog,9,0
637,TRUE,Cat,13,2449.6
638,TRUE,Dog,9,7741.59
639,FALSE,Cat,6,547.7
640,TRUE,Dog,5,0
641,TRUE,Dog,17,3005.89
642,FALSE,Dog,9,0
643,TRUE,Cat,8,0
644,TRUE,Dog,11,926.24
645,FALSE,Cat,7,0
646,TRUE,Dog,8,5474.25
647,TRUE,Both,8,258.26
648,FALSE,Dog,7,2742.38
649,TRUE,Dog,4,307.67
650,FALSE,Dog,12,4315.83
651,FALSE,Cat,13,2934.87
652,TRUE,Cat,15,3516
653,TRUE,Dog,9,1984.72
654,FALSE,Dog,9,3109.36
655,TRUE,Dog,7,1462.77
656,FALSE,Dog,10,5593.15
657,FALSE,Dog,7,1991.82
658,TRUE,Cat,13,2138.32
659,FALSE,Dog,11,1320.86
660,TRUE,Both,11,0
661,FALSE,Cat,10,1779.45
662,TRUE,Dog,13,815.76
663,FALSE,Cat,14,1130.52
664,FALSE,Dog,7,1794.24
665,FALSE,Dog,11,0
666,FALSE,Dog,6,0
667,TRUE,Dog,7,1122.89
668,TRUE,Cat,7,1426.84
669,FALSE,Cat,13,2547.75
670,TRUE,Both,8,2839.94
671,TRUE,Dog,13,2490.3
672,TRUE,Dog,10,0
673,TRUE,Both,12,5845.47
674,TRUE,Dog,6,0
675,FALSE,Dog,16,4707.76
676,FALSE,Cat,7,2461.16
677,FALSE,Cat,8,1217.28
678,TRUE,Dog,9,622.94
679,TRUE,Cat,11,0
680,TRUE,Dog,12,554.12
681,TRUE,Cat,12,1454.27
682,FALSE,Cat,9,283.96
683,TRUE,Dog,12,1779.45
684,TRUE,Cat,12,3476.11
685,TRUE,Dog,10,188.03
686,TRUE,Dog,13,7770.13
687,TRUE,Dog,11,1327.1
688,FALSE,Cat,5,799.64
689,TRUE,Dog,9,0
690,TRUE,Dog,3,688.06
691,TRUE,Cat,12,978.57
692,TRUE,Dog,9,0
693,TRUE,Dog,10,2755.06
694,TRUE,Dog,5,0
695,FALSE,Dog,17,6126.45
696,TRUE,Cat,13,0
697,FALSE,Dog,14,783.6
698,TRUE,Cat,13,1033.33
699,FALSE,Dog,8,2692.32
700,FALSE,Cat,12,1224.8
701,TRUE,Dog,10,0
702,TRUE,Dog,8,1495.48
703,FALSE,Dog,9,998.24
704,TRUE,Cat,10,0
705,TRUE,Cat,12,0
706,FALSE,Dog,7,3175.92
707,FALSE,Cat,10,3888.84
708,TRUE,Dog,11,0
709,TRUE,Cat,8,0
710,FALSE,Cat,14,6330.28
711,TRUE,Cat,6,473.91
712,TRUE,Dog,12,1273.42
713,FALSE,Cat,14,466.42
714,FALSE,Cat,11,358.42
715,TRUE,Cat,13,6826.95
716,TRUE,Both,10,0
717,TRUE,Cat,10,258.26
718,TRUE,Dog,11,2799.31
719,FALSE,Dog,15,6085.04
720,TRUE,Dog,11,6739.88
721,FALSE,Cat,11,1283.45
722,FALSE,Cat,7,0
723,TRUE,Dog,12,4711.79
724,TRUE,Both,15,1448.64
725,TRUE,Dog,9,1836.54
726,FALSE,Dog,11,6247.07
727,FALSE,Cat,12,1006.86
728,TRUE,Cat,12,1033.39
729,TRUE,Cat,5,0
730,FALSE,Both,15,1359.71
731,TRUE,Dog,5,0
732,TRUE,Both,10,1426.84
733,FALSE,Dog,10,0
734,TRUE,Dog,6,884.84
735,FALSE,Cat,9,4870.45
736,TRUE,Dog,14,6409.52
737,TRUE,Cat,3,3755.98
738,TRUE,Cat,13,8278.24
739,FALSE,Dog,8,1370.36
740,TRUE,Dog,11,0
741,TRUE,Dog,13,5541.26
742,TRUE,Dog,13,4530.8
743,TRUE,Cat,12,6561.99
744,TRUE,Cat,10,571.48
745,TRUE,Dog,9,1367.44
746,TRUE,Cat,6,0
747,TRUE,Cat,14,3870
748,FALSE,Cat,3,0
749,FALSE,Cat,14,370.92
750,FALSE,Dog,6,0
751,TRUE,Dog,14,225.73
752,FALSE,Cat,6,4348.11
753,FALSE,Cat,8,571.48
754,TRUE,Dog,5,0
755,FALSE,Cat,8,0
756,FALSE,Dog,12,163.95
757,FALSE,Cat,7,0
758,TRUE,Dog,10,3480.83
759,FALSE,Dog,9,2594.16
760,FALSE,Dog,9,4189.15
761,TRUE,Cat,17,4776.64
762,TRUE,Dog,12,4115.12
763,TRUE,Cat,6,141.98
764,TRUE,Cat,9,3066.01
765,TRUE,Dog,13,1224.8
766,FALSE,Cat,11,0
767,TRUE,Cat,8,0
768,TRUE,Cat,7,571.48
769,FALSE,Both,14,6324.56
770,TRUE,Dog,9,968.47
771,FALSE,Dog,9,1318.16
772,TRUE,Dog,3,1899.98
773,TRUE,Cat,10,0
774,FALSE,Cat,8,2835.12
775,TRUE,Dog,10,1422.44
776,TRUE,Cat,11,4877.67
777,FALSE,Dog,8,0
778,TRUE,Both,6,669.39
779,TRUE,Cat,6,4086.75
780,FALSE,Dog,12,4723.72
781,TRUE,Cat,14,2101.41
782,TRUE,Dog,6,4753.19
783,FALSE,Dog,9,0
784,FALSE,Dog,11,3761.45
785,FALSE,Dog,11,0
786,FALSE,Cat,12,2206.79
787,TRUE,Both,7,0
788,TRUE,Dog,10,2669.01
789,FALSE,Cat,7,0
790,FALSE,Cat,10,2309.14
791,FALSE,Dog,10,0
792,FALSE,Both,8,0
793,FALSE,Dog,18,2541.73
794,TRUE,Cat,11,4756.1
795,FALSE,Dog,7,1207.93
796,FALSE,Cat,8,4040.22
797,FALSE,Both,11,3339.56
798,FALSE,Cat,14,3674.36
799,TRUE,Cat,7,1794.24
800,TRUE,Dog,8,220.33
801,FALSE,Dog,15,1094.37
802,FALSE,Dog,4,1068.08
803,FALSE,Cat,10,0
804,TRUE,Dog,10,1221.72
805,TRUE,Cat,11,3558.52
806,FALSE,Cat,8,283.96
807,FALSE,Dog,10,376.06
808,FALSE,Dog,9,0
809,TRUE,Cat,10,4086.75
810,TRUE,Dog,8,0
811,TRUE,Dog,10,0
812,TRUE,Cat,8,3631.01
813,TRUE,Cat,8,3756.88
814,TRUE,Dog,11,0
815,TRUE,Both,11,768.21
816,TRUE,Both,13,1564.71
817,FALSE,Dog,14,2187.39
818,TRUE,Dog,9,1224.36
819,FALSE,Dog,14,12130.96
820,TRUE,Dog,6,0
821,FALSE,Cat,5,717.93
822,FALSE,Dog,13,7148.72
823,TRUE,Dog,10,2312.88
824,TRUE,Dog,14,0
825,TRUE,Both,7,442.42
826,FALSE,Cat,9,747.74
827,FALSE,Cat,6,0
