customer_id,add_to_cart,purchase,view,view_to_cart_rate,cart_to_purchase_rate
196,5,2,10,0.50,0.40
197,3,0,6,0.50,0.00
198,1,3,5,0.20,3.00
199,6,1,7,0.86,0.17
200,3,1,10,0.30,0.33
201,1,0,8,0.12,0.00
202,4,0,8,0.50,0.00
203,3,2,2,1.50,0.67
204,3,2,7,0.43,0.67
205,4,1,3,1.33,0.25
206,8,1,8,1.00,0.12
207,2,1,6,0.33,0.50
208,3,1,5,0.60,0.33
209,5,1,10,0.50,0.20
210,2,1,7,0.29,0.50
211,1,0,6,0.17,0.00
212,3,0,8,0.38,0.00
213,4,1,8,0.50,0.25
214,2,3,8,0.25,1.50
215,3,2,9,0.33,0.67
216,6,0,2,3.00,0.00
217,7,2,5,1.40,0.29
218,3,2,10,0.30,0.67
219,1,0,4,0.25,0.00
220,2,1,7,0.29,0.50
221,1,1,6,0.17,1.00
222,2,3,8,0.25,1.50
223,1,2,4,0.25,2.00
224,3,1,6,0.50,0.33
225,2,1,5,0.40,0.50
226,3,1,7,0.43,0.33
227,1,2,5,0.20,2.00
228,4,0,6,0.67,0.00
229,6,3,7,0.86,0.50
230,2,0,8,0.25,0.00
231,5,0,4,1.25,0.00
232,5,1,9,0.56,0.20
233,3,0,6,0.50,0.00
234,5,1,10,0.50,0.20
235,3,1,4,0.75,0.33
236,5,0,8,0.62,0.00
237,0,2,12,0.00,0.00
238,4,2,7,0.57,0.50
239,4,1,7,0.57,0.25
240,3,1,10,0.30,0.33
241,1,1,5,0.20,1.00
242,3,2,7,0.43,0.67
243,3,2,6,0.50,0.67
244,6,0,6,1.00,0.00
245,3,0,8,0.38,0.00
246,1,1,7,0.14,1.00
247,3,2,9,0.33,0.67
248,4,0,6,0.67,0.00
249,3,1,6,0.50,0.33
250,6,1,6,1.00,0.17
251,1,3,7,0.14,3.00
252,0,3,7,0.00,0.00
253,6,0,9,0.67,0.00
254,1,0,8,0.12,0.00
255,5,1,6,0.83,0.20
256,4,1,7,0.57,0.25
257,4,2,6,0.67,0.50
258,3,1,8,0.38,0.33
259,7,1,5,1.40,0.14
260,6,0,12,0.50,0.00
261,4,1,5,0.80,0.25
262,5,1,7,0.71,0.20
263,4,1,11,0.36,0.25
264,1,3,3,0.33,3.00
265,1,2,4,0.25,2.00
266,7,3,7,1.00,0.43
267,1,0,6,0.17,0.00
268,9,2,2,4.50,0.22
269,5,0,5,1.00,0.00
270,7,2,5,1.40,0.29
271,10,1,9,1.11,0.10
272,2,1,10,0.20,0.50
273,5,2,7,0.71,0.40
274,4,1,8,0.50,0.25
275,6,1,12,0.50,0.17
276,8,0,8,1.00,0.00
277,3,1,5,0.60,0.33
278,4,1,7,0.57,0.25
279,2,2,6,0.33,1.00
280,4,0,9,0.44,0.00
281,7,3,11,0.64,0.43
282,2,0,5,0.40,0.00
283,4,1,5,0.80,0.25
284,4,2,2,2.00,0.50
285,4,2,5,0.80,0.50
286,2,3,12,0.17,1.50
287,1,1,3,0.33,1.00
288,5,2,11,0.45,0.40
289,1,1,7,0.14,1.00
290,3,2,8,0.38,0.67
291,2,3,8,0.25,1.50
292,3,0,11,0.27,0.00
293,1,0,8,0.12,0.00
294,2,2,10,0.20,1.00
295,5,1,7,0.71,0.20
296,3,1,7,0.43,0.33
297,4,3,11,0.36,0.75
298,1,1,6,0.17,1.00
299,4,2,4,1.00,0.50
300,2,1,5,0.40,0.50
301,6,2,7,0.86,0.33
302,1,1,3,0.33,1.00
303,2,3,10,0.20,1.50
304,7,2,5,1.40,0.29
305,3,3,9,0.33,1.00
306,7,2,7,1.00,0.29
307,4,3,7,0.57,0.75
308,6,0,7,0.86,0.00
309,2,2,4,0.50,1.00
310,2,2,5,0.40,1.00
311,3,3,7,0.43,1.00
312,5,3,3,1.67,0.60
313,4,2,8,0.50,0.50
314,2,1,8,0.25,0.50
315,4,2,3,1.33,0.50
316,3,1,4,0.75,0.33
317,4,0,8,0.50,0.00
318,3,2,7,0.43,0.67
319,4,1,4,1.00,0.25
320,2,0,9,0.22,0.00
321,3,0,12,0.25,0.00
322,1,0,5,0.20,0.00
323,4,0,10,0.40,0.00
324,2,1,3,0.67,0.50
325,1,3,5,0.20,3.00
326,8,3,6,1.33,0.38
327,1,1,8,0.12,1.00
328,4,1,14,0.29,0.25
329,6,1,5,1.20,0.17
330,4,0,5,0.80,0.00
331,6,0,10,0.60,0.00
332,3,0,9,0.33,0.00
333,9,1,6,1.50,0.11
334,3,0,8,0.38,0.00
335,2,3,11,0.18,1.50
336,5,1,5,1.00,0.20
337,5,0,4,1.25,0.00
338,3,1,7,0.43,0.33
339,1,3,5,0.20,3.00
340,6,1,7,0.86,0.17
341,4,1,5,0.80,0.25
342,4,1,13,0.31,0.25
343,1,0,11,0.09,0.00
344,2,1,8,0.25,0.50
345,9,1,8,1.12,0.11
346,3,0,6,0.50,0.00
347,3,3,6,0.50,1.00
348,6,2,5,1.20,0.33
349,3,0,3,1.00,0.00
350,6,2,6,1.00,0.33
351,0,1,5,0.00,0.00
352,6,0,11,0.55,0.00
353,2,1,10,0.20,0.50
354,6,0,6,1.00,0.00
355,1,2,7,0.14,2.00
356,2,2,11,0.18,1.00
357,4,1,7,0.57,0.25
358,5,2,11,0.45,0.40
359,4,2,8,0.50,0.50
360,3,0,7,0.43,0.00
361,2,2,8,0.25,1.00
362,1,0,6,0.17,0.00
363,2,1,7,0.29,0.50
364,4,3,11,0.36,0.75
365,2,2,13,0.15,1.00
366,3,2,12,0.25,0.67
367,2,0,7,0.29,0.00
368,3,1,2,1.50,0.33
369,6,1,6,1.00,0.17
370,3,0,7,0.43,0.00
371,4,0,6,0.67,0.00
372,2,1,10,0.20,0.50
373,4,2,7,0.57,0.50
374,4,0,13,0.31,0.00
375,4,0,5,0.80,0.00
376,2,3,4,0.50,1.50
377,6,1,9,0.67,0.17
378,4,0,6,0.67,0.00
379,3,1,9,0.33,0.33
380,7,1,6,1.17,0.14
381,3,0,9,0.33,0.00
382,6,2,7,0.86,0.33
383,4,0,7,0.57,0.00
384,6,2,10,0.60,0.33
385,5,0,6,0.83,0.00
386,3,1,10,0.30,0.33
387,4,0,12,0.33,0.00
388,4,0,9,0.44,0.00
389,4,0,6,0.67,0.00
390,3,1,9,0.33,0.33
391,1,1,6,0.17,1.00
392,7,1,8,0.88,0.14
393,1,0,17,0.06,0.00
394,3,2,10,0.30,0.67
395,4,2,5,0.80,0.50
396,0,1,6,0.00,0.00
397,1,1,7,0.14,1.00
398,10,1,9,1.11,0.10
399,3,0,6,0.50,0.00
400,2,2,6,0.33,1.00
401,2,0,5,0.40,0.00
402,3,1,4,0.75,0.33
403,6,3,5,1.20,0.50
404,2,1,5,0.40,0.50
405,4,4,5,0.80,1.00
406,3,1,6,0.50,0.33
407,3,3,8,0.38,1.00
408,7,2,8,0.88,0.29
409,9,0,14,0.64,0.00
410,5,1,11,0.45,0.20
411,4,0,7,0.57,0.00
412,1,2,15,0.07,2.00
413,7,0,5,1.40,0.00
414,4,2,13,0.31,0.50
415,6,2,2,3.00,0.33
416,2,1,11,0.18,0.50
417,2,0,9,0.22,0.00
418,6,0,7,0.86,0.00
419,2,2,10,0.20,1.00
420,3,1,5,0.60,0.33
421,6,0,7,0.86,0.00
422,4,0,8,0.50,0.00
423,2,2,4,0.50,1.00
424,2,2,5,0.40,1.00
425,4,1,6,0.67,0.25
426,4,1,9,0.44,0.25
427,4,1,7,0.57,0.25
428,4,1,9,0.44,0.25
429,3,1,6,0.50,0.33
430,5,0,10,0.50,0.00
431,4,2,8,0.50,0.50
432,3,2,10,0.30,0.67
433,4,3,6,0.67,0.75
434,1,2,7,0.14,2.00
435,2,0,5,0.40,0.00
436,3,0,8,0.38,0.00
437,4,0,5,0.80,0.00
438,6,0,8,0.75,0.00
439,2,1,5,0.40,0.50
440,5,3,7,0.71,0.60
441,5,1,6,0.83,0.20
442,2,3,9,0.22,1.50
443,4,2,2,2.00,0.50
444,4,3,4,1.00,0.75
445,5,1,13,0.38,0.20
446,4,0,10,0.40,0.00
447,3,2,9,0.33,0.67
448,3,5,11,0.27,1.67
449,4,2,8,0.50,0.50
450,3,1,14,0.21,0.33
451,6,0,4,1.50,0.00
452,4,0,3,1.33,0.00
453,4,1,10,0.40,0.25
454,3,1,8,0.38,0.33
455,0,2,4,0.00,0.00
456,3,2,10,0.30,0.67
457,2,2,6,0.33,1.00
458,0,1,8,0.00,0.00
459,3,0,10,0.30,0.00
460,4,1,11,0.36,0.25
461,4,4,9,0.44,1.00
462,4,0,3,1.33,0.00
463,2,3,3,0.67,1.50
464,6,1,12,0.50,0.17
465,2,2,4,0.50,1.00
466,2,1,7,0.29,0.50
467,4,3,10,0.40,0.75
468,4,0,11,0.36,0.00
469,6,0,11,0.55,0.00
470,4,2,6,0.67,0.50
471,5,1,7,0.71,0.20
472,3,0,10,0.30,0.00
473,0,0,4,0.00,0.00
474,4,0,9,0.44,0.00
475,4,1,9,0.44,0.25
476,3,0,11,0.27,0.00
477,3,1,3,1.00,0.33
478,4,1,11,0.36,0.25
479,3,1,2,1.50,0.33
480,2,3,5,0.40,1.50
481,3,0,8,0.38,0.00
482,7,2,7,1.00,0.29
483,4,1,5,0.80,0.25
484,5,3,4,1.25,0.60
485,4,0,11,0.36,0.00
486,5,2,9,0.56,0.40
487,4,0,5,0.80,0.00
488,2,1,10,0.20,0.50
489,2,2,10,0.20,1.00
490,3,1,3,1.00,0.33
491,6,1,10,0.60,0.17
492,1,2,8,0.12,2.00
493,1,0,8,0.12,0.00
494,7,1,7,1.00,0.14
495,1,1,8,0.12,1.00
496,5,1,6,0.83,0.20
497,2,1,8,0.25,0.50
498,8,3,10,0.80,0.38
499,3,3,9,0.33,1.00
500,4,1,5,0.80,0.25
501,3,0,6,0.50,0.00
502,4,3,4,1.00,0.75
503,4,1,11,0.36,0.25
504,4,4,8,0.50,1.00
505,0,1,6,0.00,0.00
506,4,0,9,0.44,0.00
507,4,1,2,2.00,0.25
508,3,0,7,0.43,0.00
509,5,1,8,0.62,0.20
510,6,1,13,0.46,0.17
511,2,0,10,0.20,0.00
512,2,1,2,1.00,0.50
513,6,0,7,0.86,0.00
514,4,0,3,1.33,0.00
515,2,0,7,0.29,0.00
516,6,2,8,0.75,0.33
517,3,2,8,0.38,0.67
518,5,2,10,0.50,0.40
519,6,2,2,3.00,0.33
520,4,1,5,0.80,0.25
521,6,2,4,1.50,0.33
522,5,4,4,1.25,0.80
523,3,0,5,0.60,0.00
524,2,4,12,0.17,2.00
525,2,1,8,0.25,0.50
526,5,0,3,1.67,0.00
527,6,1,11,0.55,0.17
528,2,1,9,0.22,0.50
529,7,3,8,0.88,0.43
530,2,3,9,0.22,1.50
531,3,1,5,0.60,0.33
532,3,0,6,0.50,0.00
533,4,1,8,0.50,0.25
534,2,2,7,0.29,1.00
535,1,1,9,0.11,1.00
536,4,1,10,0.40,0.25
537,3,1,6,0.50,0.33
538,5,1,12,0.42,0.20
539,6,1,7,0.86,0.17
540,6,0,10,0.60,0.00
541,5,2,8,0.62,0.40
542,3,0,6,0.50,0.00
543,4,0,6,0.67,0.00
544,2,2,10,0.20,1.00
545,3,0,5,0.60,0.00
546,4,2,2,2.00,0.50
547,3,2,2,1.50,0.67
548,2,0,16,0.12,0.00
549,2,1,9,0.22,0.50
550,4,0,5,0.80,0.00
551,4,4,10,0.40,1.00
552,3,4,10,0.30,1.33
553,2,2,9,0.22,1.00
554,4,3,9,0.44,0.75
555,3,0,7,0.43,0.00
556,0,2,5,0.00,0.00
557,2,2,7,0.29,1.00
558,3,0,9,0.33,0.00
559,6,2,5,1.20,0.33
560,4,1,4,1.00,0.25
561,3,0,18,0.17,0.00
562,5,1,5,1.00,0.20
563,4,1,9,0.44,0.25
564,7,0,6,1.17,0.00
565,1,2,10,0.10,2.00
566,1,1,10,0.10,1.00
567,0,3,4,0.00,0.00
568,1,2,12,0.08,2.00
569,5,2,9,0.56,0.40
570,3,3,8,0.38,1.00
571,3,0,4,0.75,0.00
572,7,1,9,0.78,0.14
573,3,4,8,0.38,1.33
574,4,1,6,0.67,0.25
575,7,1,5,1.40,0.14
576,3,3,7,0.43,1.00
577,6,0,5,1.20,0.00
578,1,1,8,0.12,1.00
579,5,2,13,0.38,0.40
580,2,0,6,0.33,0.00
581,3,2,10,0.30,0.67
582,2,1,6,0.33,0.50
583,8,0,5,1.60,0.00
584,5,0,7,0.71,0.00
585,10,1,6,1.67,0.10
586,2,0,15,0.13,0.00
587,4,4,6,0.67,1.00
588,3,2,4,0.75,0.67
589,3,2,2,1.50,0.67
590,2,3,5,0.40,1.50
591,5,0,7,0.71,0.00
592,2,1,2,1.00,0.50
593,3,1,4,0.75,0.33
594,3,0,10,0.30,0.00
595,5,3,12,0.42,0.60
596,3,3,9,0.33,1.00
597,8,0,8,1.00,0.00
598,2,1,10,0.20,0.50
599,7,0,6,1.17,0.00
600,8,0,3,2.67,0.00
601,4,1,9,0.44,0.25
602,3,1,9,0.33,0.33
603,6,1,12,0.50,0.17
604,4,1,6,0.67,0.25
605,3,1,4,0.75,0.33
606,1,3,4,0.25,3.00
607,8,0,9,0.89,0.00
608,3,1,16,0.19,0.33
609,6,2,6,1.00,0.33
610,9,1,6,1.50,0.11
611,6,4,8,0.75,0.67
612,7,2,8,0.88,0.29
613,3,1,4,0.75,0.33
614,7,2,7,1.00,0.29
615,2,0,10,0.20,0.00
616,3,2,13,0.23,0.67
617,4,3,6,0.67,0.75
618,2,1,7,0.29,0.50
619,3,1,9,0.33,0.33
620,6,0,5,1.20,0.00
621,3,0,4,0.75,0.00
622,2,1,7,0.29,0.50
623,5,0,5,1.00,0.00
624,4,1,5,0.80,0.25
625,1,1,7,0.14,1.00
626,2,1,11,0.18,0.50
627,1,0,6,0.17,0.00
628,2,2,11,0.18,1.00
629,3,2,7,0.43,0.67
630,4,0,5,0.80,0.00
631,1,0,7,0.14,0.00
632,2,5,7,0.29,2.50
633,2,1,6,0.33,0.50
634,3,1,6,0.50,0.33
635,4,0,6,0.67,0.00
636,4,1,6,0.67,0.25
637,6,1,10,0.60,0.17
638,4,2,6,0.67,0.50
639,0,3,10,0.00,0.00
640,3,2,7,0.43,0.67
641,3,1,7,0.43,0.33
642,3,0,5,0.60,0.00
643,4,2,9,0.44,0.50
644,5,2,8,0.62,0.40
645,3,0,8,0.38,0.00
646,4,1,10,0.40,0.25
647,4,0,9,0.44,0.00
648,3,0,2,1.50,0.00
649,4,3,3,1.33,0.75
650,4,1,12,0.33,0.25
651,2,1,4,0.50,0.50
652,4,1,2,2.00,0.25
653,2,0,6,0.33,0.00
654,9,0,6,1.50,0.00
655,4,0,5,0.80,0.00
656,2,3,5,0.40,1.50
657,3,1,5,0.60,0.33
658,4,2,6,0.67,0.50
659,2,0,16,0.12,0.00
660,3,2,9,0.33,0.67
661,4,2,3,1.33,0.50
662,6,0,11,0.55,0.00
663,6,2,12,0.50,0.33
664,3,1,8,0.38,0.33
665,3,0,16,0.19,0.00
666,4,1,8,0.50,0.25
667,6,0,5,1.20,0.00
668,4,3,5,0.80,0.75
669,2,1,7,0.29,0.50
670,3,0,9,0.33,0.00
671,0,0,5,0.00,0.00
672,7,2,9,0.78,0.29
673,6,1,4,1.50,0.17
674,4,2,5,0.80,0.50
675,5,1,6,0.83,0.20
676,8,1,9,0.89,0.12
677,4,0,11,0.36,0.00
678,3,0,5,0.60,0.00
679,5,2,9,0.56,0.40
680,3,1,8,0.38,0.33
681,4,2,8,0.50,0.50
682,4,0,7,0.57,0.00
683,4,0,10,0.40,0.00
684,6,1,8,0.75,0.17
685,4,1,9,0.44,0.25
686,1,0,11,0.09,0.00
687,3,2,12,0.25,0.67
688,5,3,4,1.25,0.60
689,4,1,7,0.57,0.25
690,1,2,6,0.17,2.00
691,6,2,9,0.67,0.33
692,3,0,7,0.43,0.00
693,4,1,8,0.50,0.25
694,3,0,5,0.60,0.00
695,8,2,5,1.60,0.25
696,3,0,3,1.00,0.00
697,6,0,4,1.50,0.00
698,1,1,4,0.25,1.00
699,2,1,12,0.17,0.50
700,2,1,4,0.50,0.50
701,2,0,7,0.29,0.00
702,3,0,6,0.50,0.00
703,2,2,7,0.29,1.00
704,5,0,7,0.71,0.00
705,1,3,10,0.10,3.00
706,3,0,12,0.25,0.00
707,7,0,3,2.33,0.00
708,2,2,8,0.25,1.00
709,4,0,6,0.67,0.00
710,0,2,10,0.00,0.00
711,6,0,9,0.67,0.00
712,0,1,8,0.00,0.00
713,3,1,3,1.00,0.33
714,8,1,8,1.00,0.12
715,6,3,6,1.00,0.50
716,1,1,11,0.09,1.00
717,2,0,10,0.20,0.00
718,5,2,12,0.42,0.40
719,6,2,8,0.75,0.33
720,8,1,10,0.80,0.12
721,4,0,6,0.67,0.00
722,3,2,6,0.50,0.67
723,3,0,5,0.60,0.00
724,2,0,5,0.40,0.00
725,5,0,7,0.71,0.00
726,2,1,7,0.29,0.50
727,3,0,5,0.60,0.00
728,8,0,5,1.60,0.00
729,1,0,10,0.10,0.00
730,1,1,7,0.14,1.00
731,6,0,14,0.43,0.00
732,2,2,7,0.29,1.00
733,5,1,8,0.62,0.20
734,3,0,9,0.33,0.00
735,4,2,9,0.44,0.50
736,6,3,10,0.60,0.50
737,5,0,3,1.67,0.00
738,5,1,10,0.50,0.20
739,1,2,11,0.09,2.00
740,4,2,10,0.40,0.50
741,1,0,12,0.08,0.00
742,5,2,8,0.62,0.40
743,8,0,9,0.89,0.00
744,0,0,5,0.00,0.00
745,3,0,2,1.50,0.00
746,5,2,6,0.83,0.40
747,5,1,10,0.50,0.20
748,4,0,6,0.67,0.00
749,10,1,7,1.43,0.10
750,1,2,11,0.09,2.00
751,3,0,6,0.50,0.00
752,5,1,7,0.71,0.20
753,2,1,9,0.22,0.50
754,1,0,5,0.20,0.00
755,0,1,7,0.00,0.00
756,2,1,11,0.18,0.50
757,5,3,6,0.83,0.60
758,3,3,7,0.43,1.00
759,3,0,5,0.60,0.00
760,1,0,3,0.33,0.00
761,2,3,9,0.22,1.50
762,3,0,9,0.33,0.00
763,2,2,9,0.22,1.00
764,3,3,7,0.43,1.00
765,5,3,8,0.62,0.60
766,5,7,10,0.50,1.40
767,2,0,7,0.29,0.00
768,3,1,7,0.43,0.33
769,3,2,5,0.60,0.67
770,7,1,2,3.50,0.14
771,3,0,4,0.75,0.00
772,5,2,7,0.71,0.40
773,4,0,6,0.67,0.00
774,4,2,7,0.57,0.50
775,5,1,8,0.62,0.20
776,5,2,6,0.83,0.40
777,4,1,9,0.44,0.25
778,2,1,6,0.33,0.50
779,6,1,10,0.60,0.17
780,2,0,6,0.33,0.00
781,4,3,7,0.57,0.75
782,4,2,6,0.67,0.50
783,6,0,7,0.86,0.00
784,6,2,11,0.55,0.33
785,4,3,4,1.00,0.75
786,4,2,7,0.57,0.50
787,4,3,8,0.50,0.75
788,5,1,8,0.62,0.20
789,2,1,6,0.33,0.50
790,4,1,6,0.67,0.25
791,8,2,6,1.33,0.25
792,3,1,5,0.60,0.33
793,0,0,8,0.00,0.00
794,6,0,10,0.60,0.00
795,2,1,8,0.25,0.50
796,2,0,11,0.18,0.00
797,4,0,4,1.00,0.00
798,2,0,4,0.50,0.00
799,5,2,5,1.00,0.40
800,3,3,5,0.60,1.00
801,5,3,2,2.50,0.60
802,2,0,6,0.33,0.00
803,2,2,9,0.22,1.00
804,5,4,4,1.25,0.80
805,8,2,11,0.73,0.25
806,6,2,6,1.00,0.33
807,1,0,10,0.10,0.00
808,6,0,7,0.86,0.00
809,4,0,3,1.33,0.00
810,1,3,6,0.17,3.00
811,3,0,9,0.33,0.00
812,5,0,8,0.62,0.00
813,3,2,6,0.50,0.67
814,5,0,8,0.62,0.00
815,7,2,7,1.00,0.29
816,3,2,9,0.33,0.67
817,5,1,7,0.71,0.20
818,2,3,3,0.67,1.50
819,2,0,7,0.29,0.00
820,3,2,12,0.25,0.67
821,2,1,4,0.50,0.50
822,2,1,6,0.33,0.50
823,3,2,3,1.00,0.67
824,2,1,4,0.50,0.50
825,3,1,7,0.43,0.33
826,4,1,3,1.33,0.25
827,4,0,3,1.33,0.00
828,3,0,13,0.23,0.00
829,2,0,11,0.18,0.00
830,7,1,8,0.88,0.14
831,4,4,7,0.57,1.00
832,6,0,9,0.67,0.00
833,5,1,10,0.50,0.20
834,5,0,7,0.71,0.00
835,5,0,8,0.62,0.00
836,6,2,6,1.00,0.33
837,3,2,14,0.21,0.67
838,5,3,6,0.83,0.60
839,6,3,6,1.00,0.50
840,3,1,7,0.43,0.33
841,5,3,7,0.71,0.60
842,3,3,7,0.43,1.00
843,4,1,3,1.33,0.25
844,4,0,10,0.40,0.00
845,4,2,6,0.67,0.50
846,3,3,9,0.33,1.00
847,4,0,8,0.50,0.00
848,3,0,3,1.00,0.00
849,4,1,11,0.36,0.25
850,2,0,7,0.29,0.00
851,4,0,11,0.36,0.00
852,6,0,10,0.60,0.00
853,4,1,8,0.50,0.25
854,6,2,5,1.20,0.33
855,4,2,6,0.67,0.50
856,5,0,7,0.71,0.00
857,1,1,11,0.09,1.00
858,5,2,7,0.71,0.40
859,3,2,3,1.00,0.67
860,1,5,8,0.12,5.00
861,1,1,7,0.14,1.00
862,8,2,7,1.14,0.25
863,2,1,7,0.29,0.50
864,10,1,8,1.25,0.10
865,3,0,10,0.30,0.00
866,3,1,8,0.38,0.33
867,4,1,5,0.80,0.25
868,3,0,8,0.38,0.00
869,4,0,11,0.36,0.00
870,6,2,7,0.86,0.33
